Section,Mass,h,b,tw,tf,r,hi,d,A,AL,Iy,Wel_y,Wpl_y,iy,Avz,Iz,Wel_z,Wpl_z,iz,Ss,It,Iw,Flexure_Class_S355,Flexure_Class_S460,Compression_Class_S355,Compression_Class_S460
Test beam,10.02,155,75,6,,8,136,,2296,,9050000,,,,,6.72E+05,,,,,6.05E+04,,,,,
UB 1100 x 400 x 607,607,1138,410,31,55,30,1028,968,77310,3.802,16241000000,28540000,33000,457,37640,634700000,3096000,4886000,90000,176,57890000,1.85E+14,1,1,3,4
UB 1100 x 400 x 548,548,1128,407,28,50,30,1028,968,69830,3.776,14566400000,25820000,29720,455,33950,564000000,2771000,4358000,89000,163,43440000,1.63E+14,1,1,4,4
UB 1100 x 400 x 499,499,1118,405,26,45,30,1028,968,63520,3.752,13050200000,23340000,26810,451,31370,500000000,2469000,3879000,88000,151,32530000,1.43E+14,1,1,4,4
UB 1100 x 400 x 433,433,1108,402,22,40,30,1028,968,55120,3.728,11365400000,20510000,23370,452,26660,434200000,2160000,3370000,88000,137,22290000,1.24E+14,1,1,4,4
UB 1100 x 400 x 390,390,1100,400,20,36,30,1028,968,49700,3.708,10163600000,18470000,20990,450,24210,384900000,1924000,2995000,87000,127,16490000,1.09E+14,1,1,4,4
UB 1100 x 400 x 343,343,1090,400,18,31,30,1028,968,43650,3.692,8783500000,16110000,18270,446,21690,331300000,1656000,2575000,86000,115,11040000,9.27E+13,1,2,4,4
UB 1016 x 305 x 584,584,1056,314,36,64,30,928,868,74370,3.244,12460700000,23590000,28030,409,40320,334300000,2129000,3474000,67000,199,71530000,8.12E+13,1,1,1,2
UB 1016 x 305 x 494,494,1036,309,31,54,30,928,868,62910,3.194,10279500000,19840000,23410,404,34450,268200000,1736000,2818000,65000,174,43950000,6.40E+13,1,1,2,3
UB 1016 x 305 x 438,438,1026,305,26.9,49,30,928,868,55630,3.167,9091700000,17720000,20740,404,29990,233500000,1531000,2462000,64000,160,31810000,5.53E+13,1,1,3,4
UB 1016 x 305 x 415,415,1020,304,26,46,30,928,868,52870,3.152,8531200000,16720000,19570,401,28850,217000000,1428000,2297000,64000,153,27030000,5.11E+13,1,1,3,4
UB 1016 x 305 x 393,393,1016,303,24.4,43.9,30,928,868,50020,3.144,8076800000,15890000,18530,401,27120,204900000,1352000,2167000,64000,147,23290000,4.81E+13,1,1,4,4
UB 1016 x 305 x 350,350,1008,302,21.1,40,30,928,868,44510,3.13,7229600000,14340000,16580,403,23590,184600000,1222000,1940000,64000,136,17180000,4.30E+13,1,1,4,4
UB 1016 x 305 x 314,314,1000,300,19.1,35.9,30,928,868,40040,3.11,6442100000,12880000,14850,401,21340,162300000,1082000,1712000,63000,126,12630000,3.75E+13,1,1,4,4
UB 1016 x 305 x 272,272,990,300,16.5,31,30,928,868,34680,3.095,5538400000,11180000,12820,399,18450,140000000,933600,1469000,63000,113,8348000,3.21E+13,1,2,4,4
UB 1016 x 305 x 249,249,980,300,16.5,26,30,928,868,31680,3.075,4810700000,9817000,11340,389,18070,117500000,783600,1244000,60000,103,5819000,2.66E+13,1,2,4,4
UB 1016 x 305 x 222,222,970,300,16,21.1,30,928,868,28280,3.056,4076600000,8405000,9803,379,17220,95450000,636300,1020000,58000,93,3900000,2.14E+13,1,-,4,-
UB 1000 x 400 x 976,976,1108,428,50,89.9,30,928,868,124140,3.776,23486800000,42390000,50290,434,57070,1185200000,5538000,8838000,97000,264,244100000,3.04E+14,1,1,1,1
UB 1000 x 400 x 883,883,1092,424,45.5,82,30,928,868,112530,3.737,20964100000,38390000,45260,431,51640,1049700000,4951000,7873000,96000,244,185100000,2.66E+14,1,1,1,1
UB 1000 x 400 x 748,748,1068,417,39,70,30,928,868,95340,3.674,17319400000,32430000,37880,426,43890,851100000,4082000,6459000,94000,214,115500000,2.11E+14,1,1,1,1
UB 1000 x 400 x 642,642,1048,412,34,60,30,928,868,81760,3.624,14505800000,27680000,32090,421,37960,702800000,3411000,5378000,92000,189,73810000,1.71E+14,1,1,1,2
UB 1000 x 400 x 591,591,1040,409,31,55.9,30,928,868,75270,3.602,13310300000,25590000,29520,420,34630,640100000,3130000,4915000,92000,177,58950000,1.54E+14,1,1,2,3
UB 1000 x 400 x 554,554,1032,408,29.5,52,30,928,868,70580,3.585,12323700000,23880000,27490,417,32800,590900000,2896000,4546000,91000,168,48340000,1.41E+14,1,1,2,3
UB 1000 x 400 x 539,539,1030,407,28.4,51.1,30,928,868,68720,3.58,12025300000,23350000,26820,418,31630,576300000,2832000,4435000,91000,165,45290000,1.38E+14,1,1,2,4
UB 1000 x 400 x 483,483,1020,404,25.4,46,30,928,868,61510,3.554,10674800000,20930000,23920,416,28270,507100000,2510000,3918000,90000,152,33060000,1.20E+14,1,1,4,4
UB 1000 x 400 x 443,443,1012,402,23.6,41.9,30,928,868,56370,3.533,9665100000,19100000,21770,414,26180,454900000,2263000,3529000,89000,142,25430000,1.07E+14,1,1,4,4
UB 1000 x 400 x 412,412,1008,402,21.1,40,30,928,868,52510,3.53,9104700000,18060000,20460,416,23590,434000000,2159000,3348000,90000,136,21440000,1.01E+14,1,1,4,4
UB 1000 x 400 x 371,371,1000,400,19,36.1,30,928,868,47280,3.51,8137300000,16270000,18360,414,21250,385800000,1929000,2984000,90000,126,15880000,8.94E+13,1,1,4,4
UB 1000 x 400 x 321,321,990,400,16.5,31,30,928,868,40880,3.495,6964400000,14060000,15790,412,18450,331200000,1656000,2554000,90000,113,10330000,7.60E+13,1,2,4,4
UB 1000 x 400 x 296,296,982,400,16.5,27.1,30,928,868,37760,3.479,6203100000,12630000,14250,405,18150,289600000,1448000,2242000,87000,105,7636000,6.59E+13,1,2,4,4
UB 920 x 420 x 1377,1377,1093,473,76.7,115.1,25,862.8,812.8,175370,3.882,30354000000,55540000,67740,415,81290,2063500000,8725000,14160000,108000,336,604500000,4.85E+14,1,1,1,1
UB 920 x 420 x 1269,1269,1093,461,64,115.1,25,862.8,812.8,161650,3.859,29010800000,53080000,64020,423,68870,1899000000,8238000,13130000,108000,323,521200000,4.49E+14,1,1,1,1
UB 920 x 420 x 1194,1194,1081,457,60.5,109,25,862.8,812.8,152150,3.826,26967600000,49890000,59910,420,64790,1750500000,7660000,12190000,107000,307,441100000,4.10E+14,1,1,1,1
UB 920 x 420 x 1077,1077,1061,451,55,99.1,25,862.8,812.8,137150,3.773,23790900000,44840000,53450,416,58390,1527600000,6774000,10740000,105000,282,330500000,3.50E+14,1,1,1,1
UB 920 x 420 x 970,970,1043,446,50,89.9,25,862.8,812.8,123660,3.727,21042600000,40350000,47750,412,52680,1338700000,6003000,9497000,103000,259,246800000,3.02E+14,1,1,1,1
UB 920 x 420 x 787,787,1011,437,40.9,73.9,25,862.8,812.8,100200,3.645,16498600000,32630000,38110,405,42550,1033100000,4728000,7431000,101000,217,136500000,2.26E+14,1,1,1,1
UB 920 x 420 x 725,725,999,434,38.1,68.1,25,862.8,812.8,92290,3.615,14965300000,29960000,34830,402,39400,932100000,4295000,6739000,100000,203,107500000,2.01E+14,1,1,1,1
UB 920 x 420 x 656,656,987,431,34.5,62,25,862.8,812.8,83530,3.586,13394300000,27140000,31360,399,35540,830500000,3854000,6027000,99000,187,80980000,1.77E+14,1,1,1,1
UB 920 x 420 x 588,588,975,427,31,55.9,25,862.8,812.8,74810,3.553,11853100000,24310000,27940,397,31820,727700000,3408000,5314000,98000,172,59230000,1.53E+14,1,1,1,2
UB 920 x 420 x 537,537,965,425,28.4,51.1,25,862.8,812.8,68250,3.53,10696100000,22160000,25360,395,29040,655600000,3085000,4799000,97000,159,45420000,1.37E+14,1,1,2,3
UB 920 x 420 x 491,491,957,422,25.9,47,25,862.8,812.8,62330,3.507,9704100000,20280000,23090,393,26450,590100000,2796000,4339000,97000,149,35200000,1.22E+14,1,1,3,4
UB 920 x 420 x 449,449,948,423,24,42.7,25,862.8,812.8,57140,3.497,8787900000,18540000,21040,391,24390,539800000,2552000,3953000,97000,138,26920000,1.10E+14,1,1,3,4
UB 920 x 420 x 420,420,943,422,22.5,39.9,25,862.8,812.8,53410,3.486,8174100000,17330000,19620,390,22850,500700000,2373000,3671000,96000,131,22080000,1.02E+14,1,1,4,4
UB 920 x 420 x 390,390,936,420,21.3,36.6,25,862.8,812.8,49430,3.466,7458100000,15930000,18010,387,21520,452700000,2156000,3334000,95000,123,17410000,9.14E+13,1,1,4,4
UB 920 x 420 x 368,368,931,419,20.3,34.3,25,862.8,812.8,46560,3.454,6962900000,14950000,16880,385,20450,421200000,2010000,3108000,94000,118,14520000,8.45E+13,1,1,4,4
UB 920 x 420 x 344,344,927,418,19.3,32,25,862.8,812.8,43720,3.444,6490600000,14000000,15790,384,19410,390100000,1866000,2884000,94000,112,11980000,7.80E+13,1,1,4,4
UB 914 x 305 x 576,576,993,322,36.1,65,20,862.8,822.8,73320,3.167,11023200000,22200000,26290,387,36440,365200000,2268000,3658000,70000,189,71530000,7.79E+13,1,1,1,1
UB 914 x 305 x 521,521,981,319,33,58.9,20,862.8,822.8,66370,3.138,9830100000,20040000,23610,384,33120,321400000,2015000,3239000,69000,174,53580000,6.77E+13,1,1,1,2
UB 914 x 305 x 474,474,971,316,30,54.1,20,862.8,822.8,60390,3.112,8862800000,18250000,21400,383,30010,286500000,1813000,2901000,68000,161,41180000,5.98E+13,1,1,2,3
UB 914 x 305 x 425,425,961,313,26.9,49,20,862.8,822.8,54200,3.086,7887700000,16410000,19140,381,26830,251900000,1609000,2562000,68000,148,30400000,5.21E+13,1,1,2,4
UB 914 x 305 x 381,381,951,310,24.4,43.9,20,862.8,822.8,48590,3.059,6973700000,14660000,17030,378,24230,219100000,1413000,2243000,67000,135,22060000,4.48E+13,1,1,3,4
